MEASUREMENT_ID,MEASUREMENT_DATE_TIME,MEASUREMENT_VALUE,MEASUREMENT_TYPE,MEASUREMENT_STATUS,MEASUREMENT_DATE,OP
133357892501,10/8/2015 6:57:47,6,automated,OK,2015-10-08,I
581677978711,10/14/2015 0:00:05,6,automated,OK,2015-10-14,I
408956884961,10/28/2015 9:14:34,9,automated,OK,2015-10-28,I
928253396832,10/20/2015 7:19:15,4,automated,OK,2015-10-20,I
880185780101,10/21/2015 0:03:17,9,automated,OK,2015-10-21,I
863557766692,11/4/2015 9:04:00,3,automated,OK,2015-11-04,I
123679729327,10/25/2015 0:18:00,6,automated,OK,2015-10-25,I
527702103174,10/6/2015 22:01:39,7,automated,OK,2015-10-06,I
579910050301,10/26/2015 0:32:00,6,automated,OK,2015-10-26,I
184412414131,10/29/2015 10:42:02,5,automated,OK,2015-10-29,I
732792189448,10/11/2015 22:00:00,5,automated,OK,2015-10-11,I
139608548647,10/11/2015 1:58:29,8.28,automated,OK,2015-10-11,I
196952131153,10/18/2015 11:00:00,3,automated,OK,2015-10-18,I
169701146788,10/16/2015 21:59:51,2,automated,OK,2015-10-16,I
450049109999,10/3/2015 11:53:43,4,automated,OK,2015-10-03,I
274034509176,10/10/2015 1:07:02,2,automated,OK,2015-10-10,I
942268028815,3/31/2017 12:05:04,7,automated,OK,2017-03-31,I
407935476228,10/14/2015 8:23:00,1,automated,OK,2015-10-14,I
68412741342,11/3/2015 6:54:21,4,automated,OK,2015-11-03,I
672113332273,10/20/2015 23:00:00,8,automated,OK,2015-10-20,I
123679729324,11/22/2015 12:21:00,34,automated,OK,2015-11-22,I
408956884965,12/1/2015 11:01:35,3517,automated,OK,2015-12-01,I
581677978716,11/16/2015 1:00:29,725,automated,OK,2015-11-16,I
928253396829,11/17/2015 1:10:49,375,automated,OK,2015-11-17,I
880185780097,11/21/2015 12:07:34,715,automated,OK,2015-11-21,I
863557766689,12/8/2015 11:15:00,709,automated,OK,2015-12-08,I
732792189452,11/15/2015 23:55:00,598,automated,OK,2015-11-15,I
184412414130,11/24/2015 23:59:59,353,automated,OK,2015-11-24,I
59993202429,11/11/2015 1:19:00,32,automated,OK,2015-11-11,I
527702103179,11/6/2015 23:59:10,11,automated,OK,2015-11-06,I
169701146788,11/14/2015 23:55:41,51,automated,OK,2015-11-14,I
139608548651,11/12/2015 1:28:56,12.16,automated,OK,2015-11-12,I
646511562665,11/20/2015 3:12:00,28,automated,OK,2015-11-20,I
450049109998,11/9/2015 1:06:06,7,automated,OK,2015-11-09,I
579910050303,11/19/2015 12:07:00,48,automated,OK,2015-11-19,I
196952131149,11/17/2015 12:00:00,30,automated,OK,2015-11-17,I
274034509174,11/10/2015 2:12:10,838,automated,OK,2015-11-10,I
407935476224,11/15/2015 9:33:00,87,automated,OK,2015-11-15,I
68412741338,11/30/2015 23:59:59,1487,automated,OK,2015-11-30,I
