MEASUREMENT_ID,MEASUREMENT_DATE_TIME,MEASUREMENT_VALUE,MEASUREMENT_TYPE,MEASUREMENT_STATUS,MEASUREMENT_DATE,OP,TRANSACTION_ID
133357892504,10/6/2015 6:57:47 AM,12,automated,OK,2015-10-06,U,1
581677978711,10/16/2015 12:00:05 AM,15,automated,OK,2015-10-16,U,2
408956884968,10/29/2015 9:14:34 AM,15,automated,OK,2015-10-29,U,3
928253396829,10/20/2015 7:19:15 AM,17,automated,OK,2015-10-20,U,4
880185780100,10/21/2015 12:03:17 AM,15,automated,OK,2015-10-21,U,5
863557766695,11/6/2015 9:04:00 AM,15,automated,OK,2015-11-06,U,6
123679729328,10/28/2015 12:18:00 AM,16,automated,OK,2015-10-28,U,7
527702103178,10/12/2015 10:01:39 PM,6,automated,OK,2015-10-12,U,8
579910050302,10/27/2015 12:32:00 AM,11,automated,OK,2015-10-27,U,9
184412414133,10/27/2015 10:42:02 AM,17,automated,OK,2015-10-27,U,10
732792189446,10/10/2015 10:00:00 PM,26,automated,OK,2015-10-10,U,11
139608548649,10/7/2015 1:58:29 AM,110.28,automated,OK,2015-10-07,U,12
196952131151,10/13/2015 11:00:00 AM,16,automated,OK,2015-10-13,U,13
169701146790,10/14/2015 9:59:51 PM,22,automated,OK,2015-10-14,U,14
450049109998,10/5/2015 11:53:43 AM,16,automated,OK,2015-10-05,U,15
274034509179,10/8/2015 1:07:02 AM,17,automated,OK,2015-10-08,U,16
942268028813,3/29/2017 12:05:04 PM,27,automated,OK,2017-03-29,U,17
407935476229,10/17/2015 8:23:00 AM,18,automated,OK,2015-10-17,U,18
68412741344,10/30/2015 6:54:21 AM,12,automated,OK,2015-10-30,U,19
672113332272,10/22/2015 11:00:00 PM,28,automated,OK,2015-10-22,U,20
123679729325,11/27/2015 12:21:00 PM,235,automated,OK,2015-11-27,U,21
408956884963,11/29/2015 11:01:35 AM,13512,automated,OK,2015-11-29,U,22
581677978713,11/13/2015 1:00:29 AM,1720,automated,OK,2015-11-13,U,23
928253396829,11/14/2015 1:10:49 AM,1375,automated,OK,2015-11-14,U,24
880185780099,11/20/2015 12:07:34 PM,2713,automated,OK,2015-11-20,U,25
863557766690,12/8/2015 11:15:00 AM,1712,automated,OK,2015-12-08,U,26
732792189448,11/15/2015 11:55:00 PM,2597,automated,OK,2015-11-15,U,27
184412414133,11/27/2015 11:59:59 PM,2354,automated,OK,2015-11-27,U,28
59993202429,11/11/2015 1:19:00 AM,136,automated,OK,2015-11-11,U,29
527702103179,11/8/2015 11:59:10 PM,216,automated,OK,2015-11-08,U,30
169701146789,11/13/2015 11:55:41 PM,251,automated,OK,2015-11-13,U,31
139608548655,11/11/2015 1:28:56 AM,19.16,automated,OK,2015-11-11,U,32
646511562661,11/24/2015 3:12:00 AM,128,automated,OK,2015-11-24,U,33
450049110003,11/4/2015 1:06:06 AM,110,automated,OK,2015-11-04,U,34
579910050300,11/19/2015 12:07:00 PM,253,automated,OK,2015-11-19,U,35
196952131155,11/11/2015 12:00:00 PM,233,automated,OK,2015-11-11,U,36
274034509175,11/9/2015 2:12:10 AM,1833,automated,OK,2015-11-09,U,37
407935476221,11/18/2015 9:33:00 AM,192,automated,OK,2015-11-18,U,38
68412741339,12/1/2015 11:59:59 PM,21492,automated,OK,2015-12-01,U,39
68412741319,12/1/2015 11:59:59 PM,49,automated,OK,2015-12-01,I,40
