MEASUREMENT_ID,MEASUREMENT_DATE_TIME,MEASUREMENT_VALUE,MEASUREMENT_TYPE,MEASUREMENT_STATUS,MEASUREMENT_DATE,OP,TRANSACTION_ID
133357892504,10/6/2015 6:57:47 AM,2,automated,OK,2015-10-06,I,1
581677978711,10/16/2015 12:00:05 AM,5,automated,OK,2015-10-16,I,2
408956884968,10/29/2015 9:14:34 AM,5,automated,OK,2015-10-29,I,3
928253396829,10/20/2015 7:19:15 AM,7,automated,OK,2015-10-20,I,4
880185780100,10/21/2015 12:03:17 AM,5,automated,OK,2015-10-21,I,5
863557766695,11/6/2015 9:04:00 AM,5,automated,OK,2015-11-06,I,6
123679729328,10/28/2015 12:18:00 AM,6,automated,OK,2015-10-28,I,7
527702103178,10/12/2015 10:01:39 PM,6,automated,OK,2015-10-12,I,8
579910050302,10/27/2015 12:32:00 AM,1,automated,OK,2015-10-27,I,9
184412414133,10/27/2015 10:42:02 AM,7,automated,OK,2015-10-27,I,10
732792189446,10/10/2015 10:00:00 PM,6,automated,OK,2015-10-10,I,11
139608548649,10/7/2015 1:58:29 AM,10.28,automated,OK,2015-10-07,I,12
196952131151,10/13/2015 11:00:00 AM,6,automated,OK,2015-10-13,I,13
169701146790,10/14/2015 9:59:51 PM,2,automated,OK,2015-10-14,I,14
450049109998,10/5/2015 11:53:43 AM,6,automated,OK,2015-10-05,I,15
274034509179,10/8/2015 1:07:02 AM,7,automated,OK,2015-10-08,I,16
942268028813,3/29/2017 12:05:04 PM,7,automated,OK,2017-03-29,I,17
407935476229,10/17/2015 8:23:00 AM,8,automated,OK,2015-10-17,I,18
68412741344,10/30/2015 6:54:21 AM,2,automated,OK,2015-10-30,I,19
672113332272,10/22/2015 11:00:00 PM,8,automated,OK,2015-10-22,I,20
123679729325,11/27/2015 12:21:00 PM,35,automated,OK,2015-11-27,I,21
408956884963,11/29/2015 11:01:35 AM,3512,automated,OK,2015-11-29,I,22
581677978713,11/13/2015 1:00:29 AM,720,automated,OK,2015-11-13,I,23
928253396829,11/14/2015 1:10:49 AM,375,automated,OK,2015-11-14,I,24
880185780099,11/20/2015 12:07:34 PM,713,automated,OK,2015-11-20,I,25
863557766690,12/8/2015 11:15:00 AM,712,automated,OK,2015-12-08,I,26
732792189448,11/15/2015 11:55:00 PM,597,automated,OK,2015-11-15,I,27
184412414133,11/27/2015 11:59:59 PM,354,automated,OK,2015-11-27,I,28
59993202429,11/11/2015 1:19:00 AM,36,automated,OK,2015-11-11,I,29
527702103179,11/8/2015 11:59:10 PM,16,automated,OK,2015-11-08,I,30
169701146789,11/13/2015 11:55:41 PM,51,automated,OK,2015-11-13,I,31
139608548655,11/11/2015 1:28:56 AM,9.16,automated,OK,2015-11-11,I,32
646511562661,11/24/2015 3:12:00 AM,28,automated,OK,2015-11-24,I,33
450049110003,11/4/2015 1:06:06 AM,10,automated,OK,2015-11-04,I,34
579910050300,11/19/2015 12:07:00 PM,53,automated,OK,2015-11-19,I,35
196952131155,11/11/2015 12:00:00 PM,33,automated,OK,2015-11-11,I,36
274034509175,11/9/2015 2:12:10 AM,833,automated,OK,2015-11-09,I,37
407935476221,11/18/2015 9:33:00 AM,92,automated,OK,2015-11-18,I,38
68412741339,12/1/2015 11:59:59 PM,1492,automated,OK,2015-12-01,I,39
